Name;category;city;subname
3_Michaël Rakotobe - Université de La Réunion - MT180 2019_transcript.txt;end;LaRéunion;LRE11
4full_Annabel Celeste - Université de La Réunion - 2ème prix du jury - MT180 2019_transcript.txt;full;LaRéunion;LRE01
4full_Camille Paquez - Université de La Réunion - MT180 2019_transcript.txt;full;LaRéunion;LRE02
4full_Daniel Poultney - Université de La Réunion - MT180 2019_transcript.txt;full;LaRéunion;LRE03
4full_Emeline De Boisvilliers - Université de La Réunion - MT180 2019_transcript.txt;full;LaRéunion;LRE04
4full_Eve Etienne - Université de La Réunion - MT180 2019_transcript.txt;full;LaRéunion;LRE05
4full_Hélène Caillet - Université de La Réunion - MT180 2019_transcript.txt;full;LaRéunion;LRE06
4full_Josselin Le Gal La Salle - Université de La Réunion - MT180 2019_transcript.txt;full;LaRéunion;LRE07
4full_Ludovic Fontaine - Université de La Réunion - MT180 2019_transcript.txt;full;LaRéunion;LRE08
4full_Maïté Bernhard - Université de La Réunion - MT180 2019_transcript.txt;full;LaRéunion;LRE09
4full_Maximin Bonnet - Université de La Réunion - 1er prix du jury et prix du public - MT180 2019_transcript.txt;full;LaRéunion;LRE10
4full_Michaël Rakotobe - Université de La Réunion - MT180 2019_transcript.txt;full;LaRéunion;LRE11
Annabel Celeste - Université de La Réunion - 2ème prix du jury - MT180 2019_transcript.txt;original;LaRéunion;LRE01
Camille Paquez - Université de La Réunion - MT180 2019_transcript.txt;original;LaRéunion;LRE02
Daniel Poultney - Université de La Réunion - MT180 2019_transcript.txt;original;LaRéunion;LRE03
Emeline De Boisvilliers - Université de La Réunion - MT180 2019_transcript.txt;original;LaRéunion;LRE04
Eve Etienne - Université de La Réunion - MT180 2019_transcript.txt;original;LaRéunion;LRE05
Hélène Caillet - Université de La Réunion - MT180 2019_transcript.txt;original;LaRéunion;LRE06
Josselin Le Gal La Salle - Université de La Réunion - MT180 2019_transcript.txt;original;LaRéunion;LRE07
Ludovic Fontaine - Université de La Réunion - MT180 2019_transcript.txt;original;LaRéunion;LRE08
Maïté Bernhard - Université de La Réunion - MT180 2019_transcript.txt;original;LaRéunion;LRE09
Maximin Bonnet - Université de La Réunion - 1er prix du jury et prix du public - MT180 2019_transcript.txt;original;LaRéunion;LRE10
Michaël Rakotobe - Université de La Réunion - MT180 2019_transcript.txt;original;LaRéunion;LRE11
1_MT180s Occitanie-Méditerranée 2019 - Aude CAIZERGUES_transcript.txt;beginning;OccitanieMéditerranée;OCM01
1_MT180s Occitanie-Méditerranée 2019 - Christina ORIESCHNIG_transcript.txt;beginning;OccitanieMéditerranée;OCM02
1_MT180s Occitanie-Méditerranée 2019 - Coline LERICHE_transcript.txt;beginning;OccitanieMéditerranée;OCM03
1_MT180s Occitanie-Méditerranée 2019 - Guillaume BELTHIER_transcript.txt;beginning;OccitanieMéditerranée;OCM04
1_MT180s Occitanie-Méditerranée 2019 - Lolita GRAZIOSI_transcript.txt;beginning;OccitanieMéditerranée;OCM05
1_MT180s Occitanie-Méditerranée 2019 - Lucie LE CALLONNEC_transcript.txt;beginning;OccitanieMéditerranée;OCM06
1_MT180s Occitanie-Méditerranée 2019 - Lucile Pellan - 3ème prix du jury_transcript.txt;beginning;OccitanieMéditerranée;OCM07
1_MT180s Occitanie-Méditerranée 2019 - Mamadou Alimou DIALLO_transcript.txt;beginning;OccitanieMéditerranée;OCM08
1_MT180s Occitanie-Méditerranée 2019 - Mathias FRONTINI_transcript.txt;beginning;OccitanieMéditerranée;OCM09
1_MT180s Occitanie-Méditerranée 2019 - Miriam BRANDT_transcript.txt;beginning;OccitanieMéditerranée;OCM10
1_MT180s Occitanie-Méditerranée 2019 - Olivier CANOVI_transcript.txt;beginning;OccitanieMéditerranée;OCM11
1_MT180s Occitanie-Méditerranée 2019 - Quentin CHANCE_transcript.txt;beginning;OccitanieMéditerranée;OCM12
1_MT180s Occitanie-Méditerranée 2019 - RAJKOWSKI ROIRAND_transcript.txt;beginning;OccitanieMéditerranée;OCM13
1_MT180s Occitanie-Méditerranée 2019 - Redwane EL BAHAR_transcript.txt;beginning;OccitanieMéditerranée;OCM14
1_MT180s Occitanie-Méditerranée 2019 - Simon CASSEGRAIN_transcript.txt;beginning;OccitanieMéditerranée;OCM15
1_MT180s Occitanie-Méditerranée 2019 - Thibaut L'HONORE_transcript.txt;beginning;OccitanieMéditerranée;OCM16
1_MT180s Occitanie-Méditerranée 2019 - Valentin Chaput- 2ème prix du jury_transcript.txt;beginning;OccitanieMéditerranée;OCM17
1_MT180s Occitanie-Méditerranée 2019 - Yannick COGNE_transcript.txt;beginning;OccitanieMéditerranée;OCM18
1_MT180s Occitanie-Méditerranée 2019 - Yassin Tachikart 1er prix du jury et prix du public - _transcript.txt;beginning;OccitanieMéditerranée;OCM19
1_MT180s Occitanie-Méditerranée 2019 - ZARATE VILET_transcript.txt;beginning;OccitanieMéditerranée;OCM20
2_MT180s Occitanie-Méditerranée 2019 - Aude CAIZERGUES_transcript.txt;middle;OccitanieMéditerranée;OCM01
2_MT180s Occitanie-Méditerranée 2019 - Christina ORIESCHNIG_transcript.txt;middle;OccitanieMéditerranée;OCM02
2_MT180s Occitanie-Méditerranée 2019 - Coline LERICHE_transcript.txt;middle;OccitanieMéditerranée;OCM03
2_MT180s Occitanie-Méditerranée 2019 - Guillaume BELTHIER_transcript.txt;middle;OccitanieMéditerranée;OCM04
2_MT180s Occitanie-Méditerranée 2019 - Lolita GRAZIOSI_transcript.txt;middle;OccitanieMéditerranée;OCM05
2_MT180s Occitanie-Méditerranée 2019 - Lucie LE CALLONNEC_transcript.txt;middle;OccitanieMéditerranée;OCM06
2_MT180s Occitanie-Méditerranée 2019 - Lucile Pellan - 3ème prix du jury_transcript.txt;middle;OccitanieMéditerranée;OCM07
2_MT180s Occitanie-Méditerranée 2019 - Mamadou Alimou DIALLO_transcript.txt;middle;OccitanieMéditerranée;OCM08
2_MT180s Occitanie-Méditerranée 2019 - Mathias FRONTINI_transcript.txt;middle;OccitanieMéditerranée;OCM09
2_MT180s Occitanie-Méditerranée 2019 - Miriam BRANDT_transcript.txt;middle;OccitanieMéditerranée;OCM10
2_MT180s Occitanie-Méditerranée 2019 - Olivier CANOVI_transcript.txt;middle;OccitanieMéditerranée;OCM11
2_MT180s Occitanie-Méditerranée 2019 - Quentin CHANCE_transcript.txt;middle;OccitanieMéditerranée;OCM12
2_MT180s Occitanie-Méditerranée 2019 - RAJKOWSKI ROIRAND_transcript.txt;middle;OccitanieMéditerranée;OCM13
2_MT180s Occitanie-Méditerranée 2019 - Redwane EL BAHAR_transcript.txt;middle;OccitanieMéditerranée;OCM14
2_MT180s Occitanie-Méditerranée 2019 - Simon CASSEGRAIN_transcript.txt;middle;OccitanieMéditerranée;OCM15
2_MT180s Occitanie-Méditerranée 2019 - Thibaut L'HONORE_transcript.txt;middle;OccitanieMéditerranée;OCM16
2_MT180s Occitanie-Méditerranée 2019 - Valentin Chaput- 2ème prix du jury_transcript.txt;middle;OccitanieMéditerranée;OCM17
2_MT180s Occitanie-Méditerranée 2019 - Yannick COGNE_transcript.txt;middle;OccitanieMéditerranée;OCM18
2_MT180s Occitanie-Méditerranée 2019 - Yassin Tachikart 1er prix du jury et prix du public - _transcript.txt;middle;OccitanieMéditerranée;OCM19
2_MT180s Occitanie-Méditerranée 2019 - ZARATE VILET_transcript.txt;middle;OccitanieMéditerranée;OCM20
